Person i,X,Y,,,,
1,0.484,0.692,,,,
3,0.966,0.359,,,,
4,0.943,2.024,,,,
5,0.346,1.292,,,,
6,2.001,3.126,,,, 
7,-1.008,-1.579,,,,
8,-0.225,-0.452,,,,
9,1.994,2.953,,,,
10,1.267,1.183,,,,
11,2.328,3.888,,,,
12,0.947,1.892,,,,
13,1.571,2.461,,,,
14,0.464,0.479,,,,
15,0.226,0.250,,,,
16,3.459,5.512,,,,
17,1.897,3.232,,,,
18,1.413,2.248,,,,
19,1.408,1.920,,,,
20,0.287,0.331,,,,
21,0.986,0.898,,,,
22,1.494,2.957,,,,
23,0.443,0.184,,,,
24,0.939,1.833,,,,
25,0.935,1.437,,,,
26,2.293,4.092,,,,
27,1.098,1.866,,,,
28,1.102,1.148,,,,
29,1.859,3.393,,,,
30,-0.705,-1.267,,,,
31,1.827,2.971,,,,
32,0.246,0.662,,,,
33,1.564,2.715,,,,
34,1.765,3.055,,,,
35,0.012,0.387,,,,
36,0.307,0.612,,,,
37,0.443,0.329,,,,
38,1.058,1.766,,,,
39,1.832,2.232,,,,
40,2.513,4.132,,,,
41,-0.029,-0.141,,,,
42,2.392,3.836,,,,
43,0.228,0.432,,,,
44,0.763,1.219,,,,
45,0.419,1.207,,,,
46,2.052,2.920,,,,
47,1.329,2.790,,,,
48,-0.101,0.758,,,,
49,0.448,0.606,,,,
50,0.851,1.316,,,,
51,2.073,2.868,,,,
52,2.320,3.474,,,,
53,2.152,3.910,,,,
54,-0.898,-1.423,,,,
55,-1.331,-1.330,,,,
56,0.284,0.674,,,,
57,0.185,0.398,,,,
58,-0.128,-0.740,,,,
59,1.988,3.548,,,,
60,-0.537,-1.146,,,,
61,2.380,2.919,,,,
62,0.921,1.342,,,,
63,1.397,1.981,,,,
64,0.178,-0.375,,,,
65,2.190,3.505,,,,
66,0.690,1.652,,,,
67,-1.865,-2.726,,,,
68,0.995,0.554,,,,
69,1.766,2.656,,,,
70,1.374,1.876,,,,
71,-0.037,-0.616,,,,
72,1.159,1.900,,,,
73,0.516,0.069,,,,
74,-0.795,-1.691,,,,
75,1.126,1.227,,,,
76,0.586,1.068,,,,
77,1.156,1.398,,,,
78,1.316,2.516,,,,
79,1.300,1.550,,,,
80,0.354,-0.440,,,,
81,-1.008,-1.615,,,,
82,0.583,0.717,,,,
83,1.876,3.431,,,,
84,0.006,-0.191,,,,
85,1.149,1.334,,,,
86,0.684,1.730,,,,
87,0.522,1.322,,,,
88,0.549,0.660,,,,
89,1.888,2.602,,,,
90,0.066,0.000,,,,
91,0.572,1.149,,,,
92,0.403,0.032,,,,
93,0.737,0.940,,,,
94,0.988,1.765,,,,
95,-0.077,0.523,,,,
96,2.801,4.499,,,,
97,1.164,1.575,,,,
